index_name,index_key,csv_path,mirror_file,on_mirror,family,members_at_harvest
Nifty India Digital,IDX:NIFTYINDIADIGITAL,ind_niftyindiadigital_list.csv,ind_niftyindiadigital_list.csv,yes,thematic,51
Nifty India FPI 150,IDX:NIFTYINDIAFPI150,ind_niftyIndiaFPI150_list.csv,ind_niftyIndiaFPI150_list.csv,yes,broad,150
Nifty India Infrastructure & Logistics,IDX:NIFTYINDIAINFRASTRUCTURE&LOGISTICS,ind_niftyIndiaInfrastructure_Logistics_list.csv,ind_niftyIndiaInfrastructure_Logistics_list.csv,yes,thematic,100
Nifty India Internet,IDX:NIFTYINDIAINTERNET,ind_niftyIndiaInternet_list.csv,ind_niftyIndiaInternet_list.csv,yes,thematic,27
Nifty India Manufacturing,IDX:NIFTYINDIAMANUFACTURING,ind_niftyindiamanufacturing_list.csv,ind_niftyindiamanufacturing_list.csv,yes,thematic,76
Nifty India New Age Consumption,IDX:NIFTYINDIANEWAGECONSUMPTION,ind_niftyIndiaNewAgeConsumption_list.csv,ind_niftyIndiaNewAgeConsumption_list.csv,yes,thematic,75
Nifty India Railways PSU,IDX:NIFTYINDIARAILWAYSPSU,ind_niftyIndiaRailwaysPSU_list.csv,ind_niftyIndiaRailwaysPSU_list.csv,yes,thematic,17
Nifty India Select 5 Corporate Groups (MAATR),IDX:NIFTYINDIASELECT5CORPORATEGROUPS(MAATR),ind_niftyIndiaSelect5CorporateGroupsMAATR_list.csv,ind_niftyIndiaSelect5CorporateGroupsMAATR_list.csv,yes,thematic,42
Nifty India Tourism,IDX:NIFTYINDIATOURISM,ind_niftyindiatourism_list.csv,ind_niftyindiatourism_list.csv,yes,thematic,15
Nifty Infrastructure,IDX:NIFTYINFRASTRUCTURE,ind_niftyinfralist.csv,ind_niftyinfralist.csv,yes,thematic,30
Nifty Insurance,IDX:NIFTYINSURANCE,ind_niftyInsurance_list.csv,ind_niftyInsurance_list.csv,no,sectoral,12
Nifty IPO,IDX:NIFTYIPO,ind_niftyIPO_list.csv,ind_niftyIPO_list.csv,yes,thematic,109
Nifty IT,IDX:NIFTYIT,ind_niftyitlist.csv,ind_niftyitlist.csv,yes,sectoral,10
NIFTY LargeMidcap 250,IDX:NIFTYLARGEMIDCAP250,ind_niftylargemidcap250list.csv,ind_niftylargemidcap250list.csv,yes,broad,250
Nifty Low Volatility 50,IDX:NIFTYLOWVOLATILITY50,nifty_low_Volatility50_Index.csv,nifty_low_Volatility50_Index.csv,no,strategy,50
Nifty Media,IDX:NIFTYMEDIA,ind_niftymedialist.csv,ind_niftymedialist.csv,yes,sectoral,10
Nifty Metal,IDX:NIFTYMETAL,ind_niftymetallist.csv,ind_niftymetallist.csv,yes,sectoral,15
Nifty Microcap 250,IDX:NIFTYMICROCAP250,ind_niftymicrocap250_list.csv,ind_niftymicrocap250_list.csv,yes,broad,250
NIFTY Midcap 100,IDX:NIFTYMIDCAP100,ind_niftymidcap100list.csv,ind_niftymidcap100list.csv,yes,broad,100
Nifty Midcap 150,IDX:NIFTYMIDCAP150,ind_niftymidcap150list.csv,ind_niftymidcap150list.csv,yes,broad,150
Nifty Midcap 50,IDX:NIFTYMIDCAP50,ind_niftymidcap50list.csv,ind_niftymidcap50list.csv,yes,broad,50
Nifty Midcap Liquid 15,IDX:NIFTYMIDCAPLIQUID15,ind_Nifty_Midcap_Liquid15.csv,ind_Nifty_Midcap_Liquid15.csv,yes,thematic,15
Nifty Midcap Select,IDX:NIFTYMIDCAPSELECT,ind_niftymidcapselect_list.csv,ind_niftymidcapselect_list.csv,yes,broad,25
Nifty Midcap150 Momentum 50,IDX:NIFTYMIDCAP150MOMENTUM50,ind_niftymidcap150momentum50_list.csv,ind_niftymidcap150momentum50_list.csv,yes,strategy,50
NIFTY Midcap150 Quality 50,IDX:NIFTYMIDCAP150QUALITY50,ind_niftymidcap150quality50list.csv,ind_niftymidcap150quality50list.csv,yes,strategy,50
Nifty MidSmall Financial Services,IDX:NIFTYMIDSMALLFINANCIALSERVICES,ind_niftymidsmallfinancailservice_list.csv,ind_niftymidsmallfinancailservice_list.csv,yes,sectoral,30
Nifty MidSmall Healthcare,IDX:NIFTYMIDSMALLHEALTHCARE,ind_niftymidsmallhealthcare_list.csv,ind_niftymidsmallhealthcare_list.csv,yes,sectoral,30
Nifty MidSmall India Consumption,IDX:NIFTYMIDSMALLINDIACONSUMPTION,ind_niftymidsmallindiaconsumption_list.csv,ind_niftymidsmallindiaconsumption_list.csv,yes,thematic,30
Nifty MidSmall IT & Telecom,IDX:NIFTYMIDSMALLIT&TELECOM,ind_niftymidsmallitAndtelecom_list.csv,ind_niftymidsmallitAndtelecom_list.csv,yes,sectoral,20
Nifty MidSmallcap 400,IDX:NIFTYMIDSMALLCAP400,ind_niftymidsmallcap400list.csv,ind_niftymidsmallcap400list.csv,yes,broad,400
Nifty MidSmallcap400 50:50,IDX:NIFTYMIDSMALLCAP40050:50,ind_niftyMidSmallcap4005050_list.csv,ind_niftyMidSmallcap4005050_list.csv,yes,broad,400
Nifty MidSmallcap400 Momentum Quality 100,IDX:NIFTYMIDSMALLCAP400MOMENTUMQUALITY100,ind_niftyMidSmallcap400MomentumQuality100_list.csv,ind_niftyMidSmallcap400MomentumQuality100_list.csv,yes,strategy,100
Nifty MNC,IDX:NIFTYMNC,ind_niftymnclist.csv,ind_niftymnclist.csv,yes,thematic,30
Nifty Mobility,IDX:NIFTYMOBILITY,ind_niftymobility_list.csv,ind_niftymobility_list.csv,yes,strategy,30
