instrument_key,symbol,sector,industry,basic_industry
INE0XLO01010,ADMACH,Capital Goods,Industrial Manufacturing,Industrial Products
INE1IJQ01026,BAIKAKAJI,Consumer Durables,Consumer Durables,Plastic Products - Consumer
INE0X4A01013,ATIL,Capital Goods,Industrial Manufacturing,Industrial Products
INE1HK501016,MDRC,Healthcare,Healthcare Services,Healthcare Service Provider
INE1H1501013,GTIL,Capital Goods,Industrial Manufacturing,Industrial Products
INE0CNJ01010,YAJUR,Textiles,Textiles & Apparels,Other Textile Products
INE0ZE201010,DEFRAIL,Capital Goods,Industrial Products,Rubber
INE05XR01022,BHARATCOAL,"Oil, Gas & Consumable Fuels",Consumable Fuels,Coal
INE121R01077,AMAGI,Information Technology,IT - Services,IT Enabled Services
INE0S1B01014,NARMADESH,Capital Goods,Industrial Products,Other Industrial Products
INE0WKY01013,INDOSMC,Capital Goods,Electrical Equipment,Other Electrical Equipment
INE0U8P01015,GRERENEW,Construction,Construction,Civil Construction
INE1D8001016,ARITAS,Consumer Durables,Consumer Durables,Leather And Leather Products
INE1OOT01028,DIGILOGIC,Capital Goods,Aerospace & Defense,Aerospace & Defense
INE12UN01015,SHADOWFAX,Services,Transport Services,Logistics Solution Provider
INE0UCL01011,SHAYONAENG,Capital Goods,Industrial Products,Castings & Forgings
INE0JVH01012,HANNAH,Healthcare,Healthcare Services,Hospital
INE0T1301023,KASTURI,Capital Goods,Industrial Products,Iron & Steel Products
INE163401016,KANISHK,Metals & Mining,Non - Ferrous Metals,Aluminium
INE1KVQ01019,ANL,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE2B5L01011,MSAFE,Metals & Mining,Non - Ferrous Metals,Aluminium
INE1N9E01015,PANHR,Services,Commercial Services & Supplies,Diversified Commercial Services
INE501X01029,AYE,Financial Services,Finance,Non Banking Financial Company (NBFC)
INE212S01015,FRACTAL,Information Technology,IT - Software,Computers - Software & Consulting
INE0OU201013,DCMSIL,Textiles,Textiles & Apparels,Other Textile Products
INE0OFM01015,DSFCL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE1W3Q01011,FIL,Textiles,Textiles & Apparels,Garments & Apparels
INE1O6P01016,YASHHTEJ,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
INE0P8B01020,GAUDIUMIVF,Healthcare,Healthcare Services,Healthcare Service Provider
INE132201018,ACCORDTS,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
INE1C3F01018,KIAASA,Textiles,Textiles & Apparels,Garments & Apparels
INE19GK01015,SRTL,Textiles,Textiles & Apparels,Other Textile Products
INE647U01026,CLEANMAX,Power,Power,Power Generation
INE1RDG01013,PNGSREVA,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
INE0UH301010,OMNI,Capital Goods,Industrial Manufacturing,Industrial Products
INE00XB01019,SEDEMAC,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE1FEW01013,ELFIN,Fast Moving Consumer Goods,Food Products,Other Food Products
INE0J0B01017,KOTYARK,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
INE313L01016,RSL,Capital Goods,Industrial Products,Iron & Steel Products
INE0ADB01012,INNOVISION,Services,Transport Infrastructure,"Road Assets–Toll, Annuity, Hybrid-Annuity"
INE713R01022,GSPCROP,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
INE1TFS01019,NOVUS,"Media, Entertainment & Publication",Media,Web based media and service
INE0R0M01014,SPML,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE05HV01027,CMPDI,Services,Commercial Services & Supplies,Consulting Services
INE1U6D01014,TIPCO,Capital Goods,Industrial Manufacturing,Industrial Products
INE1KI801019,HIGHNESS,Capital Goods,Industrial Manufacturing,Industrial Products
INE0H9F01037,SAIPARENT,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE05TO01019,AMIRCHAND,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
INE921L01032,POWERICA,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
INE0UMH01018,SCDL,Construction,Construction,Civil Construction
INE1OSW01015,EMIAC,"Media, Entertainment & Publication",Media,Web based media and service
INE840Y01029,ONEPOINT,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
