instrument_key,symbol,sector,industry,basic_industry
INE117A01022,ABB,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
INE208C01025,AEGISLOG,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas
INE885A01032,ARE&M,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE432A01017,AMBALALSA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE714B01016,ANDHRAPET,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
INE436A01026,ANSALAPI,Realty,Realty,"Residential, Commercial Projects"
INE096A01010,UTIQUE,Metals & Mining,Non - Ferrous Metals,Precious Metals
INE957C01019,ARUNAHTEL,Consumer Services,Leisure Services,Hotels & Resorts
INE032A01023,BOMDYEING,Textiles,Textiles & Apparels,Other Textile Products
INE363A01022,ASIANHOTNR,Consumer Services,Leisure Services,Hotels & Resorts
INE100A01010,ATUL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE447A01015,ATVPR,Capital Goods,Industrial Manufacturing,Industrial Products
INE193E01025,BAJAJELEC,Consumer Durables,Consumer Durables,Household Appliances
INE306A01021,BAJAJHIND,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
INE451A01017,FORCEMOT,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
INE296A01032,BAJFINANCE,Financial Services,Finance,Non Banking Financial Company (NBFC)
INE119A01028,BALRAMCHIN,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
INE213C01025,BANCOINDIA,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE055A01016,ABREL,Realty,Realty,"Residential, Commercial Projects"
INE459A01010,BANARISUG,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
INE373A01013,BASF,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE176A01028,BATAINDIA,Consumer Durables,Consumer Durables,Footwear
INE258A01024,BEML,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
INE263A01024,BEL,Capital Goods,Aerospace & Defense,Aerospace & Defense
INE922A01025,BEPL,Chemicals,Chemicals & Petrochemicals,Petrochemicals
INE819C01011,BIHSPONG,Metals & Mining,Ferrous Metals,Sponge Iron
INE071A01013,BILVYAPAR,Financial Services,Finance,Holding Company
INE800A01015,BIRLACABLE,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
INE472A01039,BLUESTARCO,Consumer Durables,Consumer Durables,Household Appliances
INE131C01011,DISAQ,Capital Goods,Industrial Manufacturing,Industrial Products
INE418C01012,QUESTCAP,Financial Services,Capital Markets,Other Capital Market related Services
INE110A01019,BPL,Consumer Durables,Consumer Durables,Consumer Electronics
INE959C01023,OAL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE281A01026,CENTEXT,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
INE486A01021,CESC,Power,Power,Integrated Power Utilities
INE085A01013,CHAMBLFERT,Chemicals,Fertilizers & Agrochemicals,Fertilizers
INE302A01020,EXIDEIND,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE059A01026,CIPLA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE303A01010,DICIND,Chemicals,Chemicals & Petrochemicals,Printing Inks
INE007A01025,CRISIL,Financial Services,Finance,Other Financial Services
INE067A01029,CGPOWER,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
INE016A01026,DABUR,Fast Moving Consumer Goods,Personal Products,Personal Care
INE495A01022,DALMIASUG,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
INE034A01011,ARVIND,Textiles,Textiles & Apparels,Garments & Apparels
INE257A01026,BHEL,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
INE094A01015,HINDPETRO,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
INE039A01010,IFCI,Financial Services,Finance,Financial Institution
INE153A01019,MTNL,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
INE103A01014,MRPL,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
INE178A01016,CHENNPETRO,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
INE062A01020,SBIN,Financial Services,Banks,Public Sector Bank
INE114A01011,SAIL,Metals & Mining,Ferrous Metals,Iron & Steel
INE280A01028,TITAN,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
INE008A01015,IDBI,Financial Services,Banks,Private Sector Bank
INE500A01029,DCW,Chemicals,Chemicals & Petrochemicals,Petrochemicals
INE041A01016,DHAMPURSUG,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
INE591D01014,DIAMINESQ,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE280B01018,ELANTAS,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE089A01031,DRREDDY,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE126A01031,EIDPARRY,Fast Moving Consumer Goods,Food Products,Other Food Products
INE199A01012,PGHL,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE086A01029,ELECTCAST,Capital Goods,Industrial Products,Iron & Steel Products
INE284A01012,ESABINDIA,Capital Goods,Industrial Products,Other Industrial Products
INE255A01020,EPL,Capital Goods,Industrial Products,Packaging
INE778B01029,ESTER,Capital Goods,Industrial Products,Packaging
INE512A01016,FGP,Financial Services,Finance,Non Banking Financial Company (NBFC)
INE160F01013,PHCAP,Financial Services,Finance,Investment Company
INE235A01022,FINCABLES,Capital Goods,Industrial Products,Cables - Electricals
INE515A01019,COCKERILL,Capital Goods,Industrial Manufacturing,Industrial Products
INE516A01017,UFLEX,Capital Goods,Industrial Products,Packaging
INE519A01011,FOSECOIND,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE973A01010,GOLDENTOBC,Realty,Realty,"Residential, Commercial Projects"
INE388A01029,GANESHBE,"Oil, Gas & Consumable Fuels",Oil,Oil Storage & Transportation
INE085D01033,METROGLOBL,Services,Commercial Services & Supplies,Trading & Distributors
INE043A01012,GTL,Telecommunication,Telecom - Services,Other Telecom Services
INE260B01028,GODFRYPHLP,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
INE233A01035,GODREJIND,Diversified,Diversified,Diversified
INE531A01024,KANSAINER,Consumer Durables,Consumer Durables,Paints
INE300A01016,GOODRICKE,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
INE533A01012,GOODYEAR,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
INE537A01013,GTNINDS,Textiles,Textiles & Apparels,Other Textile Products
INE539A01019,GHCL,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
INE538A01037,GFLLIMITED,Financial Services,Finance,Holding Company
INE540A01017,GLFL,Financial Services,Finance,Other Financial Services
INE236A01020,HCL-INSYS,Information Technology,IT - Hardware,Computers Hardware & Equipments
INE040A01034,HDFCBANK,Financial Services,Banks,Private Sector Bank
INE158A01026,HEROMOTOCO,Automobile and Auto Components,Automobiles,2/3 Wheelers
INE548A01028,HFCL,Telecommunication,Telecom - Services,Telecom - Infrastructure
INE019C01026,HSCL,Chemicals,Chemicals & Petrochemicals,Carbon Black
INE549A01026,HCC,Construction,Construction,Civil Construction
INE345A01011,HINDOILEXP,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production
INE415A01038,AGI,Capital Goods,Industrial Products,Packaging
INE267A01025,HINDZINC,Metals & Mining,Non - Ferrous Metals,Zinc
INE353A01023,NDLVENTURE,Financial Services,Finance,Other Financial Services
INE262A01018,HMT,Capital Goods,Industrial Manufacturing,Industrial Products
INE962B01011,PRAGBOS,Textiles,Textiles & Apparels,Other Textile Products
INE102A01024,HLVLTD,Consumer Services,Leisure Services,Hotels & Resorts
INE204A01010,IGPL,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
INE560A01023,INDIAGLYCO,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
INE333C01013,INDLEASE,Financial Services,Finance,Non Banking Financial Company (NBFC)
INE680B01019,MARGOFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
INE156A01020,INDORAMA,Textiles,Textiles & Apparels,Other Textile Products
INE009A01021,INFY,Information Technology,IT - Software,Computers - Software & Consulting
INE177A01018,INGERRAND,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
INE262B01016,ITHL,Consumer Services,Leisure Services,"Tour, Travel Related Services"
INE570A01022,IONEXCHANG,Utilities,Other Utilities,Water Supply & Management
INE209A01019,SUNDROP,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
INE175A01038,JISLJALEQS,Capital Goods,Industrial Products,Plastic Products - Industrial
INE711C01028,JASCH,Textiles,Textiles & Apparels,Other Textile Products
INE197D01010,JINDALPOLY,Capital Goods,Industrial Products,Packaging
INE019A01038,JSWSTEEL,Metals & Mining,Ferrous Metals,Iron & Steel
INE217B01036,KAJARIACER,Consumer Durables,Consumer Durables,Ceramics
INE437B01014,KAKATCEM,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE907A01026,KSL,Capital Goods,Industrial Products,Iron & Steel Products
INE716A01013,WHIRLPOOL,Consumer Durables,Consumer Durables,Household Appliances
INE104A01012,KGDENIM,Textiles,Textiles & Apparels,Other Textile Products
INE266B01017,KINETICENG,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE732A01036,KIRLOSBROS,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
INE250A01039,KIRLOSIND,Capital Goods,Industrial Products,Iron & Steel Products
INE884B01025,KIRLFER,Metals & Mining,Ferrous Metals,Pig Iron
INE601C01013,ENVAIREL,Capital Goods,Industrial Manufacturing,Industrial Products
INE237A01036,KOTAKBANK,Financial Services,Banks,Private Sector Bank
INE073A01019,KRIFILIND,Capital Goods,Industrial Products,Plastic Products - Industrial
INE999A01023,KSB,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
INE337A01034,LGBBROSLTD,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE849A01020,TRENT,Consumer Services,Retailing,Speciality Retail
INE269B01029,LMW,Capital Goods,Industrial Manufacturing,Industrial Products
INE115A01026,LICHSGFIN,Financial Services,Finance,Housing Finance Company
INE326A01037,LUPIN,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE933A01014,LYKALABS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE331A01037,RAMCOCEM,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE965B01022,HYBRIDFIN,Financial Services,Capital Markets,Stockbroking & Allied
INE270B01035,MAFATIND,Textiles,Textiles & Apparels,Other Textile Products
INE271B01025,MAHSEAMLES,Capital Goods,Industrial Products,Iron & Steel Products
INE288A01013,MAHSCOOTER,Financial Services,Finance,Investment Company
INE201B01022,MAJESAUT,Services,Commercial Services & Supplies,Diversified Commercial Services
INE201A01024,MANALIPETC,Chemicals,Chemicals & Petrochemicals,Petrochemicals
INE461A01024,BARODARY,Realty,Realty,"Residential, Commercial Projects"
INE180A01020,MFSL,Financial Services,Insurance,Life Insurance
INE401C01018,MIDINDIA,Textiles,Textiles & Apparels,Other Textile Products
INE831A01028,ONIDA,Consumer Durables,Consumer Durables,Consumer Electronics
INE485A01015,CENTENKA,Textiles,Textiles & Apparels,Other Textile Products
INE794W01014,MODTHREAD,Textiles,Textiles & Apparels,Other Textile Products
INE846D01012,LORDSCHLO,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
INE285B01017,SPICEJET,Services,Transport Services,Airline
INE083A01026,MOREPENLAB,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE883A01011,MRF,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
INE578A01017,HEIDELBERG,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE868B01028,NCC,Construction,Construction,Civil Construction
INE205A01025,VEDL,Metals & Mining,Diversified Metals,Diversified Metals
INE290A01027,NAHARSPING,Textiles,Textiles & Apparels,Other Textile Products
INE585A01020,NAPEROL,Financial Services,Finance,Investment Company
INE047A01021,GRASIM,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE161A01038,NIITLTD,Consumer Services,Other Consumer Services,Education
INE903A01025,JAYKAY,Capital Goods,Aerospace & Defense,Aerospace & Defense
INE910A01012,NIRLON,Services,Commercial Services & Supplies,Diversified Commercial Services
INE213A01029,ONGC,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production
INE591A01010,OILCOUNTUB,"Oil, Gas & Consumable Fuels",Oil,Oil Equipment & Services
INE750A01020,ORIENTHOT,Consumer Services,Leisure Services,Hotels & Resorts
INE142A01012,OSWALAGRO,Services,Commercial Services & Supplies,Trading & Distributors
INE557C01017,INDSUCR,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
INE167E01037,PANCM,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE002A01018,RELIANCE,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
INE600A01035,PILITA,Consumer Durables,Consumer Durables,Plastic Products - Consumer
INE301A01014,RAYMOND,Capital Goods,Industrial Manufacturing,Industrial Products
INE318A01026,PIDILITIND,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE751B01018,PIXTRANS,Capital Goods,Industrial Products,Rubber
INE340A01012,BIRLACORPN,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE335A01020,SURYAROSNI,Capital Goods,Industrial Products,Iron & Steel Products
INE032B01021,PRIMESECU,Financial Services,Finance,Other Financial Services
INE010A01011,PRSMJOHNSN,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE855B01025,RAIN,Chemicals,Chemicals & Petrochemicals,Petrochemicals
INE024D01016,PRUDMOULI,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
INE606A01024,AMJLAND,Realty,Realty,"Residential, Commercial Projects"
INE609A01010,PUNJCOMMU,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
INE611A01016,RSWM,Textiles,Textiles & Apparels,Other Textile Products
INE562B01019,RAJSREESUG,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
INE613A01020,RALLIS,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
INE278B01020,RAMANEWS,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
INE425E01013,RAMAPPR-B,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
INE350D01015,RAPICUT,Capital Goods,Industrial Manufacturing,Industrial Products
INE731F01037,WELSPLSOL,Capital Goods,Industrial Products,Iron & Steel Products
INE642C01025,RUBFILA,Capital Goods,Industrial Products,Rubber
INE619A01035,PATANJALI,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
INE924A01013,SALORAINTL,Services,Commercial Services & Supplies,Trading & Distributors
INE538C01017,SAMTELIN,Consumer Durables,Consumer Durables,Consumer Electronics
INE324A01032,JINDALSAW,Capital Goods,Industrial Products,Iron & Steel Products
INE786A01032,JKLAKSHMI,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE070A01015,SHREECEM,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE970C01012,SKPMIL,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
INE245A01021,TATAPOWER,Power,Power,Integrated Power Utilities
INE937A01023,SPMLINFRA,Construction,Construction,Civil Construction
INE387A01021,SUNDRMFAST,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE947A01014,SUNFLAG,Capital Goods,Industrial Products,Iron & Steel Products
INE663A01033,SPLPETRO,Chemicals,Chemicals & Petrochemicals,Petrochemicals
INE277A01016,SWARAJENG,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
INE670A01012,TATAELXSI,Information Technology,IT - Software,Computers - Software & Consulting
INE012A01025,ACC,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE152A01029,THERMAX,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
INE338A01024,TIRUMALCHM,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
INE332A01027,THOMASCOOK,Consumer Services,Leisure Services,"Tour, Travel Related Services"
INE064A01026,TIMEX,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
INE932C01012,TOKYOPLAST,Consumer Durables,Consumer Durables,Plastic Products - Consumer
INE685A01028,TORNTPHARM,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE578C01021,TPINDIA,Capital Goods,Industrial Products,Packaging
INE019B01010,TRANSCHEM,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE079A01024,AMBUJACEM,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE184E01024,UTLINDS,Realty,Realty,"Residential, Commercial Projects"
INE037A01022,UNIENTER,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
INE701A01023,VHL,Financial Services,Finance,Investment Company
INE038A01020,HINDALCO,Metals & Mining,Non - Ferrous Metals,Aluminium
INE976A01021,WSTCSTPAPR,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
INE048A01011,HOCL,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
INE844C01027,MPILCORPL,Financial Services,Finance,Other Financial Services
INE818B01023,PASUPTAC,Chemicals,Chemicals & Petrochemicals,Petrochemicals
INE601A01017,TEAM24,Fast Moving Consumer Goods,Food Products,Other Food Products
INE179A01014,PGHH,Fast Moving Consumer Goods,Personal Products,Personal Care
INE304A01026,MUKANDLTD,Capital Goods,Industrial Products,Iron & Steel Products
INE676A01027,BBOX,Information Technology,IT - Services,IT Enabled Services
INE139B01016,UCAL,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE544A01019,HARRMALAYA,Capital Goods,Industrial Products,Rubber
INE171A01029,FEDERALBNK,Financial Services,Banks,Private Sector Bank
INE081A01020,TATASTEEL,Metals & Mining,Ferrous Metals,Iron & Steel
INE640A01023,SKFINDIA,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE208A01029,ASHOKLEY,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
INE298A01020,CUMMINSIND,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
INE151A01013,TATACOMM,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
INE358A01014,ABBOTINDIA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE118A01012,BAJAJHLDNG,Financial Services,Finance,Holding Company
INE465A01025,BHARATFORG,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE042A01014,ESCORTS,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Tractors
INE253A01025,HINDMOTORS,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
INE018A01030,LT,Construction,Construction,Civil Construction
INE101A01026,M&M,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
INE323A01026,BOSCHLTD,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE342A01018,PREMIER,Capital Goods,Industrial Manufacturing,Industrial Products
INE029A01011,BPCL,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
INE003A01024,SIEMENS,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
INE155A01022,TMPV,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
INE226A01021,VOLTAS,Consumer Durables,Consumer Durables,Household Appliances
INE017A01032,GESHIP,Services,Transport Services,Shipping
INE501A01019,DEEPAKFERT,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
INE369A01029,EXCELINDUS,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE291A01017,GRWRHITECH,Capital Goods,Industrial Products,Plastic Products - Industrial
INE159A01016,GLAXO,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE113A01013,GNFC,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
INE234A01025,NOVARTIND,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE058A01010,SANOFI,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE182A01018,PFIZER,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE026A01025,GSFC,Chemicals,Fertilizers & Agrochemicals,Fertilizers
INE030A01027,HINDUNILVR,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG
INE133A01011,JSWDULUX,Consumer Durables,Consumer Durables,Paints
INE163A01018,NOCIL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE092A01019,TATACHEM,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
INE148A01019,TNPETRO,Chemicals,Chemicals & Petrochemicals,Petrochemicals
INE217A01012,ZUARIIND,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
INE239A01024,NESTLEIND,Fast Moving Consumer Goods,Food Products,Packaged Foods
INE192A01025,TATACONSUM,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
INE021A01026,ASIANPAINT,Consumer Durables,Consumer Durables,Paints
INE216A01030,BRITANNIA,Fast Moving Consumer Goods,Food Products,Packaged Foods
INE259A01022,COLPAL,Fast Moving Consumer Goods,Personal Products,Personal Care
INE230A01023,EIHOTEL,Consumer Services,Leisure Services,Hotels & Resorts
INE053A01029,INDHOTEL,Consumer Services,Leisure Services,Hotels & Resorts
INE172A01027,CASTROLIND,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants
INE154A01025,ITC,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG
INE438A01022,APOLLOTYRE,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
INE482A01020,CEATLTD,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
INE832A01018,MODIRUBBER,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
INE183A01024,FINPIPE,Capital Goods,Industrial Products,Plastic Products - Industrial
INE371U01015,SUNRINV,Financial Services,Finance,Other Financial Services
INE598F01014,ZGOLDINV,Services,Commercial Services & Supplies,Trading & Distributors
INE422D01012,DSINVEST,Financial Services,Finance,Investment Company
INE660C01027,CENTRUM,Financial Services,Finance,Other Financial Services
INE524U01019,KARTKIN,Financial Services,Finance,Other Financial Services
INE911B01018,TCIFINANCE,Financial Services,Finance,Non Banking Financial Company (NBFC)
INE567L01025,LORDSMARK,Services,Commercial Services & Supplies,Consulting Services
INE825M01017,ANTARIKSH,Realty,Realty,"Residential, Commercial Projects"
INE886A01014,IITL,Financial Services,Finance,Investment Company
INE620D01011,INDPRUD,Financial Services,Finance,Investment Company
INE672A01026,TATAINVEST,Financial Services,Finance,Investment Company
INE998D01011,JAYBHCR,Financial Services,Finance,Non Banking Financial Company (NBFC)
INE286N01028,PRISMX,Services,Commercial Services & Supplies,Trading & Distributors
INE861B01023,MOTOGENFIN,Services,Commercial Services & Supplies,Diversified Commercial Services
INE154M01012,RAPIDIN,Services,Commercial Services & Supplies,Diversified Commercial Services
INE695D01021,WALCHPF,Services,Commercial Services & Supplies,Consulting Services
INE094R01019,EENTER,Financial Services,Finance,Other Financial Services
INE855A01019,WHBRADY,Capital Goods,Industrial Products,Other Industrial Products
INE314H01012,TECHNVISN,Information Technology,IT - Software,Software Products
INE151G01028,SHAILY,Consumer Durables,Consumer Durables,Plastic Products - Consumer
INE050A01025,BBTC,Fast Moving Consumer Goods,Food Products,Packaged Foods
INE691K01017,BOMBCYC,Services,Commercial Services & Supplies,Trading & Distributors
INE224A01026,GREAVESCOT,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
INE003F01015,MULLER,Services,Commercial Services & Supplies,Trading & Distributors
INE02ZA01012,SFTL,Services,Commercial Services & Supplies,Trading & Distributors
INE492N01022,AMALGAM,Services,Commercial Services & Supplies,Diversified Commercial Services
INE134R01013,ANANDPROJ,Construction,Construction,Civil Construction
INE131H01028,INDIANVSH,Financial Services,Finance,Non Banking Financial Company (NBFC)
INE377E01024,COASTCORP,Fast Moving Consumer Goods,Food Products,Seafood
INE490A01015,CHOWGULSTM,Services,Transport Services,Shipping
INE446C01013,GARWAOFFS,Services,Transport Services,Shipping
INE758D01027,DHENUBUILD,Financial Services,Finance,Non Banking Financial Company (NBFC)
INE443A01030,ASIIL,Metals & Mining,Minerals & Mining,Industrial Minerals
INE229C01021,SAGCEM,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE583C01021,DECCANCE,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE347A01017,MANGLMCEM,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE732C01016,NCLIND,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE626A01014,SAURASHCEM,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE232A01011,SHREDIGCEM,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE666D01022,BORORENEW,Capital Goods,Industrial Products,Glass - Industrial
INE347D01011,LERTHAI,Construction Materials,Other Construction Materials,Other Construction Materials
INE094C01011,TRIVENIGQ,Construction Materials,Other Construction Materials,Other Construction Materials
INE416N01013,NILACHAL,Capital Goods,Industrial Products,Electrodes & Refractories
INE435A01051,ANDHRAPAP,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
INE787D01026,BALKRISIND,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
INE592A01026,ORIENTPPR,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
INE906D01014,CITADEL,Realty,Realty,"Residential, Commercial Projects"
INE927A01040,ROLLT,Capital Goods,Industrial Products,Packaging
INE630A01024,SESHAPAPER,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
INE777A01023,NATHIND,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
INE464D01014,VAPIENTER,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
INE498A01018,DCM,Information Technology,IT - Services,IT Enabled Services
INE837X01027,ZGAEKWAR,Textiles,Textiles & Apparels,Other Textile Products
INE518A01013,FORBESCO,Consumer Durables,Consumer Durables,Household Appliances
INE950C01014,HPCOTTON,Textiles,Textiles & Apparels,Other Textile Products
INE706D01018,UNITEDINT,Information Technology,IT - Services,IT Enabled Services
INE462D01034,JAMSHRI,Realty,Realty,"Residential, Commercial Projects"
INE498G01015,KATRSPG,Textiles,Textiles & Apparels,Other Textile Products
INE087A01019,KESORAMIND,Textiles,Textiles & Apparels,Other Textile Products
INE938C01019,LAKSHMIMIL,Textiles,Textiles & Apparels,Other Textile Products
INE825A01020,VTL,Textiles,Textiles & Apparels,Other Textile Products
INE138A01028,PENINLAND,Realty,Realty,"Residential, Commercial Projects"
INE909B01020,PASUSPG,Textiles,Textiles & Apparels,Other Textile Products
INE211B01039,PHOENIXLTD,Realty,Realty,"Residential, Commercial Projects"
INE182D01020,MARATHON,Realty,Realty,"Residential, Commercial Projects"
INE491N01016,RAJABAH,Realty,Realty,"Residential, Commercial Projects"
INE750D01016,RELCHEMQ,Textiles,Textiles & Apparels,Other Textile Products
INE301D01026,RUBYMILLS,Textiles,Textiles & Apparels,Other Textile Products
INE167H01014,SIMPLXREA,Realty,Realty,"Residential, Commercial Projects"
INE665A01038,SWANCORP,Chemicals,Chemicals & Petrochemicals,Petrochemicals
INE203D01016,VICTMILL,Realty,Realty,"Residential, Commercial Projects"
INE404N01019,ZSVTRADI,Financial Services,Finance,Other Financial Services
INE406N01014,ZSVARAJT,Financial Services,Finance,Other Financial Services
INE733N01011,MANGLAM,Financial Services,Finance,Other Financial Services
INE315N01017,SALSAIN,Financial Services,Finance,Other Financial Services
INE314N01028,APOLLOIN,Services,Commercial Services & Supplies,Diversified Commercial Services
INE945J01027,ZODIACVEN,Services,Commercial Services & Supplies,Consulting Services
INE255E01030,VEERENRGY,Power,Power,Power Generation
INE948K01011,SW1,Services,Commercial Services & Supplies,Diversified Commercial Services
